ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
stationary-combustion,generic-method,fuel,Oil products,Crude oil,,l,"2,49532776",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Crude oil,,kg,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Crude oil,,tonne,"3119,1597",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Crude oil,,m3,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Crude oil,,tj,73739,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Orimulsion,,l,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Orimulsion,,kg,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Orimulsion,,tonne,"2129,5725",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Orimulsion,,m3,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Orimulsion,,tj,77439,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Natural Gas Liquids,,l,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Natural Gas Liquids,,kg,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Natural Gas Liquids,,tonne,"2857,0438",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Natural Gas Liquids,,m3,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Natural Gas Liquids,,tj,64639,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Motor gasoline,,l,"2,286183898",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Motor gasoline,,kg,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Motor gasoline,,tonne,"3089,4377",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Motor gasoline,,m3,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Motor gasoline,,tj,69739,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Aviation gasoline,,l,"2,215517867",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Aviation gasoline,,kg,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Aviation gasoline,,tonne,"3120,4477",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Aviation gasoline,,m3,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Aviation gasoline,,tj,70439,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Jet gasoline,,l,"2,215517867",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Jet gasoline,,kg,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Jet gasoline,,tonne,"3120,4477",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Jet gasoline,,m3,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Jet gasoline,,tj,70439,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Jet kerosene,,l,"2,506282821",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Jet kerosene,,kg,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Jet kerosene,,tonne,"3172,5099",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Jet kerosene,,m3,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Jet kerosene,,tj,71939,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Other kerosene,,l,"2,53475856",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Other kerosene,,kg,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Other kerosene,,tonne,"3168,4482",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Other kerosene,,m3,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Other kerosene,,tj,72339,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Shale oil,,l,"2,8094559",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Shale oil,,kg,0,Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
stationary-combustion,generic-method,fuel,Oil products,Shale oil,,tonne,"2809,4559",Emission_Factors_from_Cross_Sector_Tools_March_2017.xls,2017
