ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
purchased-goods-and-services,average-data-method,materials,construction,Aggregates - Primary,,kg,"0,00775",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Aggregates - Re-used,,kg,"0,00221",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Aggregates - Recycled,,kg,"0,00319",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Average construction - Primary,,kg,"0,08034",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Asbestos - Primary,,kg,"0,027",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Asphalt - Primary,,kg,"0,03921",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Asphalt - Re-used,,kg,"0,00174",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Asphalt - Recycled,,kg,"0,02865",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Bricks - Primary,,kg,"0,24175",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Concrete - Primary,,kg,"0,13175",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Insulation - Primary,,kg,"1,86175",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Metals - Primary,,kg,"4,018",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Soils - Recycled,,kg,"0,00098",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Mineral oil - Primary,,kg,"1,401",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Plasterboard - Primary,,kg,"0,12005",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Tyres - Primary,,kg,"3,33557",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Wood - Primary,,kg,"0,31261",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Concrete - Recycled,,kg,"0,00319",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Insulation - Recycled,,kg,"1,85208",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Metals - Recycled,,kg,"1,57127",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Mineral oil - Recycled,,kg,"0,676",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Plasterboard - Recycled,,kg,"0,03217",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Tyres - Re-used,,kg,"0,73122",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Wood - Re-used,,kg,"0,03854",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,construction,Wood - Recycled,,kg,"0,11297",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,others,Glass - Primary,,kg,"1,40277",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,others,Glass - Recycled,,kg,"0,82319",DEFRA,2022
purchased-goods-and-services,average-data-method,materials,others,Clothing - Primary,,kg,"22,31",DEFRA,2022
