ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
waste-generated-in-operations,waste-type-method,waste,Construction,Aggregates - Open-loop Recycling,,tonne,"0,9847",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Aggregates - Closed-loop Recycling,,tonne,"0,985",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Aggregates - Combustion,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Aggregates - Composting,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Aggregates - Landfill,,tonne,"1,234",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Aggregates - Anaerobic digestion,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Average construction - Open-loop Recycling,,tonne,"0,985",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Average construction - Closed-loop Recycling,,tonne,"0,985",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Average construction - Combustion,,tonne,"21,2802",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Average construction - Composting,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Average construction - Landfill,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Average construction - Anaerobic digestion,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asbestos - Open-loop Recycling,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asbestos - Closed-loop Recycling,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asbestos - Combustion,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asbestos - Composting,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asbestos - Landfill,,tonne,"5,913",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asbestos - Anaerobic digestion,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asphalt - Open-loop Recycling,,tonne,"0,985",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asphalt - Closed-loop Recycling,,tonne,"0,985",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asphalt - Combustion,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asphalt - Composting,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asphalt - Landfill,,tonne,"1,234",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Asphalt - Anaerobic digestion,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Bricks - Open-loop Recycling,,tonne,"0,985",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Bricks - Closed-loop Recycling,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Bricks - Combustion,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Bricks - Composting,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Bricks - Landfill,,tonne,"1,234",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Bricks - Anaerobic digestion,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Concrete - Open-loop Recycling,,tonne,"0,985",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Concrete - Closed-loop Recycling,,tonne,"0,985",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Concrete - Combustion,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Concrete - Composting,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Concrete - Landfill,,tonne,"1,234",DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Concrete - Anaerobic digestion,,tonne,,DEFRA,2022
waste-generated-in-operations,waste-type-method,waste,Construction,Insulation - Open-loop Recycling,,tonne,,DEFRA,2022
