ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
fugitive-emissions,mass-balance-method,gas,,1234yf,,kg,1,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,1234ze,,kg,1,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R22,,kg,1760,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R23,,kg,14800,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R32,,kg,677,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R125,,kg,3170,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R134a,,kg,1300,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R143a,,kg,4800,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R245fa,,kg,858,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R290,propane,kg,3,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R404a,(44% R125; 52% R143a; 4% R134a),kg,3943,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R407a,(20% R32; 40% R125; 40% R134a),kg,1923,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R407c,(23% R32; 25% R125; 52% R134a),kg,1624,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R407F,"(40% R134a, 30% R125a, 30% R32)",kg,1674,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R410a,(50% R32; 50% R125),kg,1924,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R417a,(46.6% R125; 50% R134a; 3.4% Butane),kg,2127,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R422d,(65.1% R125; 31.5% R134a; 3.4% R600a),kg,2473,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R438A,"(8.5% R-32, 45% R125, 44.2% R134a, 1.7% R600, 0.6% R601a)",kg,2059,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R448A,"(blend of R32 (26%), R125 (26%), R134a (21%), R1234ze (7%) and R1234yf (20%)",kg,1273,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R449A,"(blend of R32 (24.3%), R125 (24.7%), R1234yf (25.3%) and R134a (25.7%))",kg,1282,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R450A,(blend of R134a (42%) and R1234ze (58%),kg,547,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R452A,"(11% R-32, 59% R125, 30% R1234yf)",kg,1945,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R452B,"(blend of R32 (67%), R125 (7%) and R1234yf (26%))",kg,676,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R507,(50% R143a; 50% R125),kg,3985,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R513A,(blend of 56% R1234yf and 44% R134a),kg,573,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R600,butane,kg,3,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R600a,isobutane,kg,3,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R601A,isopentane,kg,5,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R717,ammonia,kg,0,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R744,CO2,kg,1,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,R1233zd,,kg,1,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,Carbon dioxide,CO2,kg,1,https://ghgprotocol.org/sites/default/files/Global-Warming-Potential-Values%20%28Feb%2016%202016%29_0.pdf,
fugitive-emissions,mass-balance-method,gas,,Methane,CH4,kg,28,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,Nitrous oxide,N2O,kg,265,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,Sulfur Hexafluoride,SF6,kg,23500,https://www.co2emissiefactoren.nl/lijst-emissiefactoren/,
fugitive-emissions,mass-balance-method,gas,,Nitrogen trifluoride (NF3),,kg,16100,https://ghgprotocol.org/sites/default/files/Global-Warming-Potential-Values%20%28Feb%2016%202016%29_0.pdf,
