ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Class I (up to 1.305 tonnes),,tonne.km,"0,78936",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Class I (up to 1.305 tonnes),,km,"0,14189",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Class I (up to 1.305 tonnes),,mile,"0,22836",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Class I (up to 1.305 tonnes),,tonne.km,"1,10666",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Class I (up to 1.305 tonnes),,km,"0,19687",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Class I (up to 1.305 tonnes),,mile,"0,31683",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Class I (up to 1.305 tonnes),,tonne.km,"0,17148",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Class I (up to 1.305 tonnes),,km,"0,03612",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Class I (up to 1.305 tonnes),,mile,"0,05814",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Class II (1.305 to 1.74 tonnes),,tonne.km,"0,59878",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Class II (1.305 to 1.74 tonnes),,km,"0,17513",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Class II (1.305 to 1.74 tonnes),,mile,"0,28186",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Class II (1.305 to 1.74 tonnes),,tonne.km,"0,76353",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Class II (1.305 to 1.74 tonnes),,km,"0,20461",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Class II (1.305 to 1.74 tonnes),,mile,"0,32928",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Class II (1.305 to 1.74 tonnes),,tonne.km,"0,2494",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Class II (1.305 to 1.74 tonnes),,km,"0,0564",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Class II (1.305 to 1.74 tonnes),,mile,"0,09079",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Class III (1.74 to 3.5 tonnes),,tonne.km,"0,57034",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Class III (1.74 to 3.5 tonnes),,km,"0,25481",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Class III (1.74 to 3.5 tonnes),,mile,"0,4101",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Class III (1.74 to 3.5 tonnes),,tonne.km,"0,80723",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Class III (1.74 to 3.5 tonnes),,km,"0,32607",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Class III (1.74 to 3.5 tonnes),,mile,"0,52475",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Class III (1.74 to 3.5 tonnes),,tonne.km,"0,26121",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Class III (1.74 to 3.5 tonnes),,km,"0,09327",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Class III (1.74 to 3.5 tonnes),,mile,"0,15009",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Average (up to 3.5 tonnes),,tonne.km,"0,57871",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Average (up to 3.5 tonnes),,km,"0,23156",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Diesel,Average (up to 3.5 tonnes),,mile,"0,37268",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Average (up to 3.5 tonnes),,tonne.km,"0,75394",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Average (up to 3.5 tonnes),,km,"0,21332",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Petrol,Average (up to 3.5 tonnes),,mile,"0,3433",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|CNG,Average (up to 3.5 tonnes),,tonne.km,"0,59128",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|CNG,Average (up to 3.5 tonnes),,km,"0,23575",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|CNG,Average (up to 3.5 tonnes),,mile,"0,37939",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|LPG,Average (up to 3.5 tonnes),,tonne.km,"0,6502",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|LPG,Average (up to 3.5 tonnes),,km,"0,25924",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|LPG,Average (up to 3.5 tonnes),,mile,"0,41721",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Unknown fuel,Average (up to 3.5 tonnes),,tonne.km,"0,58421",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Unknown fuel,Average (up to 3.5 tonnes),,km,"0,23099",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Unknown fuel,Average (up to 3.5 tonnes),,mile,"0,37174",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Average (up to 3.5 tonnes),,tonne.km,"0,25116",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Average (up to 3.5 tonnes),,km,"0,06225",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,Vans|Battery,Average (up to 3.5 tonnes),,mile,"0,10019",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Empty,Rigid (>3.5 - 7.5 tonnes),,tonne.km,,DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Empty,Rigid (>3.5 - 7.5 tonnes),,km,"0,46338",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Empty,Rigid (>3.5 - 7.5 tonnes),,mile,"0,74574",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Half laden,Rigid (>3.5 - 7.5 tonnes),,tonne.km,"0,48922",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Half laden,Rigid (>3.5 - 7.5 tonnes),,km,"0,50315",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Half laden,Rigid (>3.5 - 7.5 tonnes),,mile,"0,80973",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Full laden,Rigid (>3.5 - 7.5 tonnes),,tonne.km,"0,26396",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Full laden,Rigid (>3.5 - 7.5 tonnes),,km,"0,54291",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Full laden,Rigid (>3.5 - 7.5 tonnes),,mile,"0,87373",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Average Laden,Rigid (>3.5 - 7.5 tonnes),,tonne.km,"0,56214",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Average Laden,Rigid (>3.5 - 7.5 tonnes),,km,"0,49758",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Average Laden,Rigid (>3.5 - 7.5 tonnes),,mile,"0,80078",DEFRA,2022
upstream-transportation-and-distribution,distance-based-method,vehicle,HGV|Diesel - Empty,Rigid (>7.5 tonnes-17 tonnes),,tonne.km,,DEFRA,2022
