ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Mini,,km,"0,108294",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Mini,,miles,"0,17429",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Supermini,,km,"0,132764",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Supermini,,miles,"0,21368",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Lower medium,,km,"0,144614",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Lower medium,,miles,"0,23274",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Upper medium,,km,"0,161974",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Upper medium,,miles,"0,26068",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Executive,,km,"0,174684",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Executive,,miles,"0,28114",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Luxury,,km,"0,212434",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Luxury,,miles,"0,34189",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Sports,,km,"0,170414",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Sports,,miles,"0,27426",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Dual purpose 4X4,,km,"0,202964",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,Dual purpose 4X5,,miles,"0,32665",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,MPV,,km,"0,177844",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Diesel,MPV,,miles,"0,28621",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Petrol,Mini,,km,"0,13421",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Petrol,Mini,,miles,"0,21598",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Petrol,Supermini,,km,"0,14802",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Petrol,Supermini,,miles,"0,23821",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Petrol,Lower medium,,km,"0,17162",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Petrol,Lower medium,,miles,"0,2762",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Petrol,Upper medium,,km,"0,19923",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Petrol,Upper medium,,miles,"0,32063",DEFRA,2022
employee-commuting,distance-based-method,vehicule,Cars (by market segment)|Petrol,Executive,,km,"0,21999",DEFRA,2022
