ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
franchises,average-data-method,Floor area,Austria|Non-residential,Office ,,m2,"0,038",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Non-residential,Retail - high street ,,m2,"0,046",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Non-residential,Retail - shopping center ,,m2,"0,039",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Non-residential,Retail - warehouse ,,m2,"0,033",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Non-residential,Hotel ,,m2,"0,040",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Non-residential,Distribution warehouse cold ,,m2,"0,030",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Non-residential,Distribution warehouse warm ,,m2,"0,016",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Non-residential,Healthcare ,,m2,"0,048",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Non-residential,Leisure/Lodging ,,m2,"0,050",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Non-residential,Non-residential total - average across non-residential buildings,,m2,"0,036",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Residential,Single-family home ,,m2,"0,024",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Residential,Multi-family home ,,m2,"0,018",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Austria|Residential,Residential total - average across residential buildings,,m2,"0,022",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Non-residential,Office ,,m2,"0,052",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Non-residential,Retail - high street ,,m2,"0,063",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Non-residential,Retail - shopping center ,,m2,"0,054",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Non-residential,Retail - warehouse ,,m2,"0,045",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Non-residential,Hotel ,,m2,"0,054",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Non-residential,Distribution warehouse cold ,,m2,"0,039",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Non-residential,Distribution warehouse warm ,,m2,"0,019",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Non-residential,Healthcare ,,m2,"0,066",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Non-residential,Leisure/Lodging ,,m2,"0,066",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Non-residential,Non-residential total - average across non-residential buildings,,m2,"0,050",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Residential,Single-family home ,,m2,"0,038",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Residential,Multi-family home ,,m2,"0,037",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Belgium|Residential,Residential total - average across residential buildings,,m2,"0,038",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Non-residential,Office ,,m2,"0,053",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Non-residential,Retail - high street ,,m2,"0,065",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Non-residential,Retail - shopping center ,,m2,"0,065",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Non-residential,Retail - warehouse ,,m2,"0,051",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Non-residential,Hotel ,,m2,"0,062",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Non-residential,Distribution warehouse cold ,,m2,"0,039",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Non-residential,Distribution warehouse warm ,,m2,"0,017",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Non-residential,Healthcare ,,m2,"0,060",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Non-residential,Leisure/Lodging ,,m2,"0,052",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Non-residential,Non-residential total - average across non-residential buildings,,m2,"0,050",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Residential,Single-family home ,,m2,"0,026",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Residential,Multi-family home ,,m2,"0,027",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Bulgaria|Residential,Residential total - average across residential buildings,,m2,"0,027",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Non-residential,Office ,,m2,"0,057",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Non-residential,Retail - high street ,,m2,"0,069",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Non-residential,Retail - shopping center ,,m2,"0,059",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Non-residential,Retail - warehouse ,,m2,"0,052",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Non-residential,Hotel ,,m2,"0,061",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Non-residential,Distribution warehouse cold ,,m2,"0,049",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Non-residential,Distribution warehouse warm ,,m2,"0,022",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Non-residential,Healthcare ,,m2,"0,077",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Non-residential,Leisure/Lodging ,,m2,"0,075",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Non-residential,Non-residential total - average across non-residential buildings,,m2,"0,055",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Residential,Single-family home ,,m2,"0,021",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Residential,Multi-family home ,,m2,"0,022",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Croatia|Residential,Residential total - average across residential buildings,,m2,"0,021",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Cyprus|Non-residential,Office ,,m2,"0,121",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Cyprus|Non-residential,Retail - high street ,,m2,"0,168",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Cyprus|Non-residential,Retail - shopping center ,,m2,"0,148",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Cyprus|Non-residential,Retail - warehouse ,,m2,"0,104",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
franchises,average-data-method,Floor area,Cyprus|Non-residential,Hotel ,,m2,"0,132",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
