ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bio Petrol,,tj,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bio Petrol,,tonne,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bio Petrol,,l,"0,27392",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bio Petrol,,m3,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bio Petrol,,kg,"0,36924",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bio Petrol,,kwh_net_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bio Petrol,,kwh_gross_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bio Petrol,,gj,"8,27",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bio Petrol,,kwh,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel HVO,,tj,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel HVO,,tonne,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel HVO,,l,"0,35178",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel HVO,,m3,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel HVO,,kg,"0,451",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel HVO,,kwh_net_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel HVO,,kwh_gross_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel HVO,,gj,"10,25",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel HVO,,kwh,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME,,tj,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME,,tonne,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME,,l,"0,36333",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME,,m3,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME,,kg,"0,40824",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME,,kwh_net_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME,,kwh_gross_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME,,gj,"10,97",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME,,kwh,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from tallow),,tj,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from tallow),,tonne,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from tallow),,l,"0,46351",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from tallow),,m3,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from tallow),,kg,"0,5208",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from tallow),,kwh_net_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from tallow),,kwh_gross_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from tallow),,gj,14,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from tallow),,kwh,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from used cooking oil),,tj,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from used cooking oil),,tonne,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from used cooking oil),,l,"0,34252",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from used cooking oil),,m3,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from used cooking oil),,kg,"0,38486",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from used cooking oil),,kwh_net_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from used cooking oil),,kwh_gross_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from used cooking oil),,gj,"10,35",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Biodiesel ME (from used cooking oil),,kwh,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bioethanol,,tj,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bioethanol,,tonne,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bioethanol,,l,"0,41584",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bioethanol,,m3,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bioethanol,,kg,"0,52373",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bioethanol,,kwh_net_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bioethanol,,kwh_gross_cv,,DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bioethanol,,gj,"19,54",DEFRA,2022
fuel-and-energy-related-activities,automatic-method,fuel,Biofuel,Bioethanol,,kwh,,DEFRA,2022
