ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Soybean Farming,,usd,"1,326",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Oilseed (except Soybean) Farming,,usd,"1,326",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Dry Pea and Bean Farming,,usd,"3,007",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Wheat Farming,,usd,"3,007",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Corn Farming,,usd,"3,007",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Rice Farming,,usd,"3,007",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Oilseed and Grain Combination Farming,,usd,"3,007",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",All Other Grain Farming,,usd,"3,007",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Potato Farming,,usd,"0,588",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Other Vegetable (except Potato) and Melon Farming,,usd,"0,588",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Orange Groves,,usd,"0,500",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Citrus (except Orange) Groves,,usd,"0,500",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Apple Orchards,,usd,"0,500",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Grape Vineyards,,usd,"0,500",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Strawberry Farming,,usd,"0,500",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Berry (except Strawberry) Farming,,usd,"0,500",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Tree Nut Farming,,usd,"0,500",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Fruit and Tree Nut Combination Farming,,usd,"0,500",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Other Noncitrus Fruit Farming,,usd,"0,500",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Mushroom Production,,usd,"1,043",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Other Food Crops Grown Under Cover,,usd,"1,043",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Nursery and Tree Production,,usd,"1,043",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Floriculture Production,,usd,"1,043",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Tobacco Farming,,usd,"1,431",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Cotton Farming,,usd,"1,431",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Sugarcane Farming,,usd,"1,431",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Hay Farming,,usd,"1,431",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Sugar Beet Farming,,usd,"1,431",U.S EPA,2021
investments,equity-average-data-method,goods,"Agriculture, Forestry, Fishing, And Hunting|Crop Production|Crop production",Peanut Farming,,usd,"1,431",U.S EPA,2021
