ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|chipless shaping (plus laser machining),Deep drawing steel,,kg,"0,52",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|chipless shaping (plus laser machining),Rolling steel,,kg,"0,9",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|chipping,Drilling steel,"per kg removed, the removed steel not counted, the ecoburden of the removed materials in Idemat not included",kg,"0,109",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|chipping,Milling steel,"per kg removed, the removed steel not counted, the ecoburden of the removed materials in Idemat not included",kg,"0,109",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|chipping,Turrning steel,"per kg removed, the removed steel not counted, the ecoburden of the removed materials in Idemat not included",kg,"0,109",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|coating,Electroplating Chrome,,m2,"2,81",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|coating,Electroplating Nickel,,m2,"1,85",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|coating,"Electroplating Zinc, incl. outside use, per 10 years",,m2,"2,95",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|coating,"Electroplating Zinc, inside use or painted (5 micron)",,m2,"1,48",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|coating,"Hot-dip Zinc plating, pieces, outside use",,m2,"6,94",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|coating,Phosphating (Fe s),,m2,"0,69",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|coating,Phosphating (Zn i),,m2,"0,01",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|coating,Phosphating (Zn s),,m2,"0,01",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|coating,Powder coating aluminium,,m2,"4,04",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|coating,Powder coating steel,,m2,4,IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|welding steel,"Electric MIG welding 4mm steel, 0.125 kg electrode",,m,"1,13",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|welding steel,welding shipbuilding (FCAW) per kg electrode,,kg,"213,11",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|welding steel,welding steel arc (MAG) 0.0536 kg electrode,,m,"0,15",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|metals|welding steel,"welding steel, autogenious 0.0536 kg electrode",,m,"0,11",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Anodising,,m2,"2,06",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Autogenuous welding Al 1,,m,"0,61",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Autogenuous welding Al 2,,m,"1,67",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Autogenuous welding Al 3,,m,"2,62",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Cold transforming Al,,kg,"0,1",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Cutting Al. laser,,m2,"0,17",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Cutting Al. shears,,m2,"0,63",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,"Drilling Al. (per kg removed, removed Al not counted)",,kg,"0,07",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Extruding alum,,kg,"0,75",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Forging aluminium,,kg,"0,23",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Machining aluminium,,kg,"0,07",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,MIG-arc welding Al 10,,m,"3,46",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,MIG-arc welding Al 12,,m,"6,08",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,MIG-arc welding Al 4,,m,"0,67",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,MIG-arc welding Al 5 I-jnt,,m,"1,45",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,MIG-arc welding Al 5 V-jnt,,m,"2,17",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,MIG-arc welding Al 6 V-jnt,,m,"2,58",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,MIG-arc welding Al 8,,m,"3,29",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,"Milling Al. (per kg removed, removed Al not counted)",,kg,"0,07",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Rolling aluminium foil,,kg,"0,99",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Rolling aluminium sheet,,kg,"0,82",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Rolling brass,,kg,"0,41",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Sawing Al. band saw,,m2,"0,42",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Sawing Al. circular saw,,m2,"0,84",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Scouring aluminium,,kg,"0,88",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Seam welding Al. 0.25,,m,"2,79",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Seam welding Al. 1.5,,m,"8,92",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Seam welding Al. 2.5,,m,"12,82",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Spot welding Al. 0.5,,p,"0,03",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Spot welding Al. 1,,p,"0,06",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Spot welding Al. 1.5,,p,"0,11",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Spot welding Al. 3,,p,"0,26",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,"Turning Al (per kg removed, removed Al not counted)",,kg,"0,07",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|non-ferro,Welding aluminium arc (0.0183 kg electrode),,m,"0,19",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|Paper and packaging,"Corrugated board box making, (excl the paper)",,kg,"0,13",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|Paper and packaging,"Printing Ink, Black, conventional",,kg,"1,62",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|Paper and packaging,"Printing Ink, Black, UV, inkjet",,kg,"4,18",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|Paper and packaging,"Printing Ink, Magenta, conventional",,kg,"1,65",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|Paper and packaging,"Printing Ink, Magenta, UV, inkjet",,kg,"4,18",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|Paper and packaging,"Printing Ink, Varnish, conventional",,kg,"2,61",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|Paper and packaging,"Printing Ink, White, UV, inkjet",,kg,"4,12",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
processing-of-sold-products,average-data-method,manufacturing,Processing|Paper and packaging,"Printing per m2 offset, conventional full colour",,m2,"0,0125",IDEMAT: https://www.ecocostsvalue.com/EVR/img/Idemat_2023_RevA8.xlsx,2023
