ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Non-residential,Office ,,m2,"0,038",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Non-residential,Retail - high street ,,m2,"0,046",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Non-residential,Retail - shopping center ,,m2,"0,039",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Non-residential,Retail - warehouse ,,m2,"0,033",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Non-residential,Hotel ,,m2,"0,040",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Non-residential,Distribution warehouse cold ,,m2,"0,030",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Non-residential,Distribution warehouse warm ,,m2,"0,016",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Non-residential,Healthcare ,,m2,"0,048",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Non-residential,Leisure/Lodging ,,m2,"0,050",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Non-residential,Non-residential total - average across non-residential buildings,,m2,"0,036",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Residential,Single-family home ,,m2,"0,024",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Residential,Multi-family home ,,m2,"0,018",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Austria|Residential,Residential total - average across residential buildings,,m2,"0,022",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Belgium|Non-residential,Office ,,m2,"0,052",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Belgium|Non-residential,Retail - high street ,,m2,"0,063",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Belgium|Non-residential,Retail - shopping center ,,m2,"0,054",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Belgium|Non-residential,Retail - warehouse ,,m2,"0,045",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Belgium|Non-residential,Hotel ,,m2,"0,054",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Belgium|Non-residential,Distribution warehouse cold ,,m2,"0,039",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Belgium|Non-residential,Distribution warehouse warm ,,m2,"0,019",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
upstream-leased-assets,leased-buildings-average-data-method,Floor area,Belgium|Non-residential,Healthcare ,,m2,"0,066",PCAF European building emission factor database - https://building-db.carbonaccountingfinancials.com/PCAF_emission_factor_database.php?partitionpage=Mortgages,2022
