ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
use-of-sold-products,direct-electricity-use,electricity,,Austria,,kwh,"0,15200",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Belgium,,kwh,"0,21500",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Bulgaria,,kwh,"0,55600",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Croatia,,kwh,"0,17700",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Cyprus,,kwh,"0,78700",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Czech Republic,,kwh,"0,63200",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Denmark,,kwh,"0,07600",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Estonia,,kwh,"0,43800",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Finland,,kwh,"0,07700",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,France,,kwh,"0,07900",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Germany,,kwh,"0,41800",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Greece,,kwh,"0,42600",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Hungary,,kwh,"0,21200",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Ireland,,kwh,"0,35200",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Italy,,kwh,"0,34300",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Latvia,,kwh,"0,09800",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Lithuania,,kwh,"0,07400",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Luxembourg,,kwh,"0,02100",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Malta,,kwh,"0,41700",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
use-of-sold-products,direct-electricity-use,electricity,,Netherlands,,kwh,"0,40200",https://data.jrc.ec.europa.eu/dataset/919df040-0252-4e4e-ad82-c054896e1641#details,2020
